FOLIO,ANIO,TRIM,FECHA,CONCESIONARIO,K_EMPRESA,EMPRESA,K_GRUPO,GRUPO,I_FIJO_MOVIL,INGRESOS_TOTAL_E
107341,2021,4,15DEC2021,"NEXT TELEKOM, S.A.P.I. DE C.V.",C0735,NEXT TELEKOM,C735,NEXT TELEKOM,Fijo,4379337.67
107353,2021,4,15DEC2021,"LOGISTICA ACN MEXICO, S. DE R.L. DE C.V.",C0704,FLASH MOBILE,C704,FLASH MOBILE,OMV,21768937.62
107358,2021,4,15DEC2021,"CABLE SISTEMA DEL CENTRO, S.A. DE C.V.",C0849,CABLE SISTEMA DEL CENTRO,C849,CABLE SISTEMA DEL CENTRO,Fijo,125171.00
107366,2021,4,15DEC2021,"CELMEX INNOVA, S.A.P.I. DE C.V.",C0701,SIMPATI,C701,SIMPATI,OMV,3735734.55
501591,2021,4,15DEC2021,"HERMOVISION, S. DE R.L. DE C.V.",C0829,HERMOVISION,C829,HERMOVISION,Fijo,1179328.00
501592,2021,4,15DEC2021,"SIHI MEXICO, S. DE R.L. DE C.V.",C0789,SIHI MEXICO,C789,SIHI MEXICO,Fijo,71260508.49
501609,2021,4,15DEC2021,"COMNET, S.A. DE C.V.",C0112,COMNET,C112,COMNET,OMV,16234.89
501907,2021,4,15DEC2021,"VALOR AGREGADO DIGITAL, S.A. DE C.V.",C0734,VADSA,C734,VADSA,Fijo,
501909,2021,4,15DEC2021,"RBA CATV, S.A. DE C.V.",C0669,RBACATV,C669,RBACATV,Fijo,10909704.65
501991,2021,4,15DEC2021,"EYCO DE LOS ALTOS, S. DE R.L. DE C.V.",C0830,EYCO DE LOS ALTOS,C830,EYCO DE LOS ALTOS,FIJO,1277189.00
509193,2021,4,15DEC2021,"FREEDOMPOP MEXICO, S.A. DE C.V.",C0709,FREEDOMPOP,C709,FREEDOM,OMV,33233048.00
510310,2021,4,15DEC2021,"ALTAN REDES, S.A.P.I. DE C.V.",C0719,ALTAN,C719,ALTAN,Red Compartida,862839373.79
510327,2021,4,15DEC2021,"SIERRA MADRE INTERNET, S.A. DE C.V.",C0769,SIERRA MADRE,C769,SIERRA MADRE TELECOM,Fijo,12151714.91
512000,2021,4,15DEC2021,"LANTOINTERNET, S.A. DE C.V.",C0773,QUATTROCOM,C773,QUATTROCOM,Fijo,21518366.00
512007,2021,4,15DEC2021,NATALIA CHAREEVA,C0851,NET LINK,C851,NET LINK,Fijo,1204915.00
512248,2021,4,15DEC2021,"SISCAB DE MEXICO, S.A. DE C.V.",C0694,SISCAB DE MEXICO,C694,SISCAB DE MEXICO,Fijo,1145952.58
512249,2021,4,15DEC2021,"TELESISTEMAS Y REDES MEXIQUENSES, S.A. DE C.V.",C0690,ESPID,C690,ESPID,Fijo,543632.76
512642,2021,4,15DEC2021,"TELECABLE DE CUERNAVACA, S.A. DE C.V.",C0610,TELECABLE DE CUERNAVACA,C610,TELECABLE DE CUERNAVACA,Fijo,1991102.82
516719,2021,4,15DEC2021,"GILAT SATELLITE NETWORKS MEXICO, S.A. DE C.V.",C0665,GILAT,C665,GILAT,Satelital,5940000.00
516798,2021,4,15DEC2021,"VASANTA COMUNICACIONES, S.A.P.I. DE C.V.",C0775,VASANTA,C775,VASANTA,Fijo y OMV,13672340.35
516858,2021,4,15DEC2021,"GRUPO CORPORATIVO ZUNUN PAZ, S. A. DE C.V.",C0357,GRUPO CORPORATIVO ZUNUN PAZ,C357,GRUPO CORPORATIVO ZUNUN PAZ,Fijo,88182.00
