FOLIO,ANIO,MES,FECHA,K_GRUPO,GRUPO,CONCESIONARIO,K_EMPRESA,EMPRESA,ENTIDAD,TECNO_ACCESO_TV,A_TOTAL_E
100829,2021,12,44545,C175,ES TV COM,"ES TV COM, S.A. DE C.V.",C017,ES TV COM,Sin información de Entidad,Sin información de tecnología,355
100830,2021,12,44545,C172,ENTRETENIMIENTO Y TELECOMUNICACIONES,"ENTRETENIMIENTO Y TELECOMUNICACIONES, S.A. DE C.V.",C017,ENTRETENIMIENTO Y TELECOMUNICACIONES,Sin información de Entidad,Sin información de tecnología,652
100857,2021,12,44545,C565,TELESISTEMAS POTOSINOS,"TELESISTEMAS POTOSINOS, S.A. DE C.V.",C056,TELESISTEMAS POTOSINOS,Sin información de Entidad,Sin información de tecnología,2986
100860,2021,12,44545,C528,TELECABLE DE COAHUAYANA,"TELECABLE DE COAHUAYANA, S.A. DE C.V.",C052,TELECABLE DE COAHUAYANA,Sin información de Entidad,Sin información de tecnología,2464
100865,2021,12,44545,G004,GRUPO TELEVISA,"CABLEVISION, S.A. DE C.V.",C026,CABLEVISION,Ciudad de Mexico,Cable,1416369
100865,2021,12,44545,G004,GRUPO TELEVISA,"CABLEVISION, S.A. DE C.V.",C026,CABLEVISION,Mexico.,Cable,442206
103793,2021,12,44545,C685,MVSTV,"COMBAND, S.A. DE C.V.",C068,MVSTV,Sin información de Entidad,Sin información de tecnología,3
105695,2021,12,44545,G008,MEGACABLE-MCM,"SERVICIO Y EQUIPO EN TELEFONIA INTERNET Y TV, S.A. DE C.V.",C037,MEGACABLE,Sin información de Entidad,Sin información de tecnología,433068
105822,2021,12,44545,C839,RAVS CABLE,ROBERTO ANTONIO MALDONADO GUTIERREZ,C083,RAVS CABLE,Sin información de Entidad,Sin información de tecnología,12713
106254,2021,12,44545,G008,MEGACABLE-MCM,"CABLE SORO, S.A. DE C.V.",C037,MEGACABLE,Sin información de Entidad,Sin información de tecnología,1808
106274,2021,12,44545,C236,HIPERCABLE DE MONCLOVA,"HIPERCABLE DE MONCLOVA, S.A. DE C.V.",C023,HIPERCABLE DE MONCLOVA,Sin información de Entidad,Sin información de tecnología,1174
106279,2021,12,44545,C541,TELECABLE DE TEKAX,"TELECABLE DE TEKAX, S.A. DE C.V.",C054,TELECABLE DE TEKAX,Sin información de Entidad,Sin información de tecnología,405
106282,2021,12,44545,C152,DIVERSICABLE,"DIVERSICABLE, S.A. DE C.V.",C015,DIVERSICABLE,Sin información de Entidad,Sin información de tecnología,2657
106312,2021,12,44545,C672,STAR NET,"STAR NET, S.A. DE C.V.",C067,STAR NET,Sin información de Entidad,Sin información de tecnología,90
106313,2021,12,44545,C544,TELECABLE DE XALTIANGUIS,"TELECABLE DE XALTIANGUIS, S.A. DE C.V.",C054,TELECABLE DE XALTIANGUIS,Sin información de Entidad,Sin información de tecnología,64
106518,2021,12,44545,C572,TELEVISION POR CABLE DE MUZQUIZ,"TELEVISION POR CABLE DE MUZQUIZ, S.A. DE C.V.",C057,TELEVISION POR CABLE DE MUZQUIZ,Sin información de Entidad,Sin información de tecnología,773
107020,2021,12,44545,C844,CABLEVISION DE LA HUACAN,OBDULIA NAVA BECERRIL,C084,CABLEVISION DE LA HUACAN,Sin información de Entidad,Sin información de tecnología,374
107023,2021,12,44545,C845,TELECABLE DE CAMPECHE,"TELECABLE DE CAMPECHE, S.A. DE C.V.",C084,TELECABLE DE CAMPECHE,Sin información de Entidad,Sin información de tecnología,6536
107110,2021,12,44545,C999,OTROS,"CABLEREGION, S.A. DE C.V.",C999,OTROS,Sin información de Entidad,Sin información de tecnología,2201
107116,2021,12,44545,C642,TELECABLE DE VILLANUEVA,"TELECABLE DE VILLANUEVA, S.A. DE C.V.",C064,TELECABLE DE VILLANUEVA,Sin información de Entidad,Sin información de tecnología,972
107246,2021,12,44545,C861,TELEWEB,"CABLE WEB, S.A. DE C.V.",C086,TELEWEB,Sin información de Entidad,Sin información de tecnología,1397
107329,2021,12,44545,C848,TELECABLE MERIDA,"TELECABLE DE MERIDA, S.A. DE C.V.",C084,TELECABLE MERIDA,Sin información de Entidad,Sin información de tecnología,6250
